#Energy	pz
-8.94493	-0.00108
-8.93393	-0.00206
-8.92293	-0.00355
-8.91193	-0.0056
-8.90193	-0.00804
-8.89093	-0.01053
-8.87993	-0.01257
-8.86893	-0.01368
-8.85793	-0.01358
-8.84793	-0.01229
-8.83693	-0.01015
-8.82593	-0.00766
-8.81493	-0.00532
-8.80493	-0.00348
-8.79393	-0.00232
-8.78293	-0.00188
-8.77193	-0.00212
-8.76093	-0.00296
-8.75093	-0.00425
-8.73993	-0.00579
-8.72893	-0.00726
-8.71793	-0.00832
-8.70693	-0.0087
-8.69693	-0.0083
-8.68593	-0.00722
-8.67493	-0.00572
-8.66393	-0.00413
-8.65293	-0.00272
-8.64293	-0.00164
-8.63193	-9E-4
-8.62093	-4.5E-4
-8.60993	-2E-4
-8.59993	-8E-5
-8.58893	-3E-5
-8.57793	-1E-5
-8.56693	0
-8.55593	0
-8.54593	0
-8.53493	0
-8.52393	0
-8.51293	0
-8.50193	-1E-5
-8.49193	-5E-5
-8.48093	-1.4E-4
-8.46993	-3.9E-4
-8.45893	-9.9E-4
-8.44793	-0.00227
-8.43793	-0.00483
-8.42693	-0.00942
-8.41593	-0.0169
-8.40493	-0.02789
-8.39493	-0.04232
-8.38393	-0.05903
-8.37293	-0.07564
-8.36193	-0.08902
-8.35093	-0.09614
-8.34093	-0.09524
-8.32993	-0.0865
-8.31893	-0.07205
-8.30793	-0.05521
-8.29693	-0.03966
-8.28693	-0.02898
